rank_2013,rank_2012,institution,country,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,overall
39,40,The Chinese University of Hong Kong,Hong Kong,94.5,83.3,87.9,47.1,95.8,81.7,82.3
40,31,"University of California, Los Angeles (UCLA)",United States,100,98,47.7,100,2.3,43.6,81.9
41,41,Ecole Polytechnique,France,74.1,97.5,99.9,66.2,72,91.4,81.1
41,47,Nanyang Technological University (NTU),Singapore,92.4,94.1,90.1,33,100,97.1,81.1
43,46,The University of Queensland,Australia,95.7,91.9,49.8,69.3,98.8,86.8,80.9
44,43,New York University (NYU),United States,98.4,92,94.9,43.8,23.5,60,80.8
45,51,University of Copenhagen,Denmark,89,78.9,99.7,57.4,67.5,37.5,80.5
46,44,Peking University,China,99.8,98.8,79,46.5,64.5,32.1,80
47,42,Brown University,United States,81.1,65.5,85.2,97.6,23.5,55.8,79.8
48,48,Tsinghua University,China,99.3,99.1,88.6,38.3,48.7,38.9,79.7
49,45,University of British Columbia,Canada,99.6,86.5,35.4,83.4,83.4,53.5,79.4
50,55,Ruprecht-Karls-Universitat Heidelberg,Germany,96.4,64.1,86,55.6,52.7,61.6,79.3
51,54,University of Glasgow,United Kingdom,86.4,80.1,52.7,85.9,81.2,84.7,78.9
52,52,The University of New South Wales,Australia,96.5,98.6,40.2,61.2,100,95.8,78.8
53,53,Technische Universitat Munchen,Germany,90.7,96.1,95.5,39.1,51,57.7,78.5
54,57,"University of North Carolina, Chapel Hill",United States,83.9,56.3,78.8,92.4,43.6,22.1,77
55,50,Osaka University,Japan,91.7,80.5,93.2,57.7,14.9,19.9,76.9
56,56,University of Illinois at Urbana-Champaign,United States,97.9,77.5,23.6,91.3,67.6,62.6,76.7
57,49,Carnegie Mellon University,United States,85.8,82.6,46.4,93.4,18.6,98,76.6
58,62,University of Amsterdam,Netherlands,93.8,83.9,41.1,85.7,67,30.6,76.4
59,59,University of Washington,United States,95.2,54.6,54.7,99.5,8.7,22.3,76.2
60,63,KAIST - Korea Advanced Institute of Science & Technology,"Korea, South",85.1,72.8,90.8,64.5,40.7,21.8,75.8
61,67,Trinity College Dublin,Ireland,81.8,82.6,59.8,65.4,98,78.7,75.1
62,77,University of Birmingham,United Kingdom,81.3,90.4,57.3,67.4,81.6,80,74.9
63,70,"University of California, San Diego (UCSD)",United States,98,50.4,45.5,99.8,2.1,22.3,74.8
64,58,The University of Warwick,United Kingdom,89.4,100,47.1,47.7,91.6,98,74.5
65,60,Ludwig-Maximilians-Universitat Munchen,Germany,98.4,84.3,45.4,63.8,46.3,43,74.4
66,65,Tokyo Institute of Technology,Japan,79.8,84.6,76.8,78.3,15,35.1,74.2
67,71,Lund University,Sweden,89.6,90,50.8,67.7,51.4,52.4,74
68,69,London School of Economics and Political Science (LSE),United Kingdom,92.6,100,63.5,19.6,100,100,73.9
69,61,Monash University,Australia,94.1,98,34.6,50.1,89.5,90.7,73.7
69,78,University of Helsinki,Finland,84.3,55.7,92.9,59.9,56.8,14.7,73.7
71,66,The University of Sheffield,United Kingdom,79.3,84.7,59.4,62,80.4,91.4,73.3
71,74,University of Geneva,Switzerland,66.6,36.9,64.8,98.9,100,99,73.3
71,68,University of Texas at Austin,United States,98.5,87.9,21.1,82,57.9,26.5,73.3
74,75,Leiden University,Netherlands,86.6,59.8,44.5,94.3,68.8,22.7,73.2
75,72,The University of Nottingham,United Kingdom,80.3,98,54.8,56.5,84.8,87.7,73.1
75,75,Tohoku University,Japan,81.8,76,97.9,54.9,18.5,21.2,73.1
77,82,Katholieke Universiteit Leuven,Belgium,93.1,79.6,21.7,86.2,74.9,44.3,73
78,90,University of Zurich,Switzerland,80.6,67.6,70.9,59.2,99.7,52.2,72.9
79,64,Boston University,United States,75.6,81.5,64.9,85.3,12.7,63.7,72.5
79,81,Uppsala University,Sweden,86.3,70.1,38.6,92.5,41,48.9,72.5
81,85,Utrecht University,Netherlands,84.9,63.2,46.5,93.7,55.7,18.1,72.3
82,80,National Taiwan University (NTU),Taiwan,97.5,76.4,39.9,77.4,17.5,14.9,72
83,93,University of St Andrews,United Kingdom,66.2,78.4,67.8,68.5,95.9,99.9,71.6
84,79,The University of Western Australia,Australia,77.5,79.2,38.6,78.8,99.9,75.2,71.4
85,100,"University of California, Davis",United States,83.8,48.6,38.7,96.9,68.9,41.3,71.3
86,73,University of Southampton,United Kingdom,73.9,65.8,61,67.9,87,89.2,71
86,84,Washington University in St. Louis,United States,62.1,36.7,99.8,96.7,7.2,50.6,71
88,90,Fudan University,China,92.5,92.9,40.4,64.9,18.3,46.5,70.8
89,111,University of Oslo,Norway,72.4,50.8,83.2,75.4,46.3,44.5,70.6
90,92,Durham University,United Kingdom,75.3,98.7,48.9,60.4,89.7,76.3,70.4
91,89,Aarhus University,Denmark,75.1,60.1,59.9,80,66.9,53.7,70.3
92,99,Erasmus University Rotterdam,Netherlands,54.5,91.5,68.7,93.2,75.4,57.2,70.2
92,114,Universite de Montreal,Canada,79,59.6,37.3,82.4,87,82.6,70.2
94,83,The University of Auckland,New Zealand,92.1,88,27.9,47.1,89.7,89.1,69.8
95,103,Delft University of Technology,Netherlands,79.8,81.8,36.6,67.3,90.2,74.8,69.4
96,108,University of Alberta,Canada,77.8,59.6,61.5,57.6,90.5,72.9,69.3
97,109,University of Groningen,Netherlands,66.4,57.3,73.8,63.9,91.9,90.2,69.2
97,94,University of Leeds,United Kingdom,81.3,87.3,48.2,52.5,77.8,72.6,69.2
99,88,Georgia Institute of Technology,United States,76.2,82.9,18.8,99.6,41.6,72.1,68.4
99,86,Nagoya University,Japan,72.3,64.7,94.1,57,21.8,28.8,68.4
99,95,Purdue University,United States,78.6,82.8,35.5,63.7,95.1,77.2,68.4
